Reference,Value,Datasheet,Footprint,Qty,DNP,Status
"C1,C2,C4,C14,C16",0.1uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,5,,
"C5,C6",100n,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,,
C7,10n,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,,
"C8,C9",1u,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,,
"C10,C13",1uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,,
"C12,C18",100nF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,,
"C15,C19",1.0uF,~,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,,
D1,LED,~,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,
FB1,FerriteBead,~,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,,
"J1,J5",USB_B_Micro,~,Connector_USB:USB_Micro-B_Amphenol_10118194-0001LF_Horizontal,2,,
"J2,J4",Conn_02x04_Counter_Clockwise,~,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical,2,,
"J6,J7,J8,J9",Conn_01x02_Pin,~,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,4,,
J13,Conn_01x04,~,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,1,,
"Q5,Q6,Q7",2N7002,https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF,Package_TO_SOT_SMD:SOT-23,3,,
"R1,R2,R3",10k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3,,
"R4,R5,R8,R14",47k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,4,,
"R6,R7,R9,R10,R12,R13,R15,R16",4k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,8,,
"R11,R17",1k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,,
"R26,R27,R28,R29,R30,R31",2.2k,~,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,6,,
"RV1,RV2,RV3,RV4",R_Potentiometer,~,Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical,4,,
"SW1,SW3",SW_Push,~,Button_Switch_THT:SW_PUSH_6mm,2,,
TP3,TestPoint,~,TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,1,,
"U1,U4",FT232RL,https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf,Package_SO:SSOP-28_5.3x10.2mm_P0.65mm,2,,
U2,ESP32-WROOM-E,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32e_esp32-wroom-32ue_datasheet_en.pdf,ESP32 WROOM-E:ESP32­WROOM­32E_EXP,1,,
U3,STM32L031K6Tx,https://www.st.com/resource/en/datasheet/stm32l031k6.pdf,Package_QFP:LQFP-32_7x7mm_P0.8mm,1,,
U5,LM324N,LM324N,LM324N:DIP-14_STM,1,,
U6,TC1262-33,http://ww1.microchip.com/downloads/en/DeviceDoc/21373C.pdf,Package_TO_SOT_SMD:SOT-223,1,,
U8,ICM-20948,http://www.invensense.com/wp-content/uploads/2016/06/DS-000189-ICM-20948-v1.3.pdf,Sensor_Motion:InvenSense_QFN-24_3x3mm_P0.4mm,1,,
U10,AP2112K-1.8,https://www.diodes.com/assets/Datasheets/AP2112.pdf,Package_TO_SOT_SMD:SOT-23-5,1,,
